labID,age,error,depth,OutlierProb,Thickness
UCIAMS-88697,9530,30,0.5,0.01,1
TO-7692,9250,90,3,0.01,0
UCIAMS-88898,10055,30,11.5,0.01,1
UCIAMS-88699,9985,30,12.5,0.01,1
UCIAMS-168087,10270,25,19.5,0.01,1
UCIAMS-88700,10485,30,22.5,0.5,1
UCIAMS-168088,10330,20,23.5,0.5,1
Beta-116994,10420,70,25,0.5,0
PSUAMS-1569,10350,60,26,0.5,2
UCIAMS-168089,10440,25,26.5,0.5,1
PSUAMS-1570,12060,70,28,0.5,2
PSUAMS-1571,12820,45,30,0.5,2
UCIAMS-88701,10470,35,31.5,0.01,3
PSUAMS-1572,10850,35,32,0.01,2
UCIAMS-29317,10610,25,33,0.5,2
PSUAMS-1573,13760,45,34,0.5,2
PSUAMS-1574,12970,45,36,0.5,2
PSUAMS-1575,12005,40,38,0.5,2
UCIAMS-168090,10920,25,38,0.5,2
PSUAMS-1576,17190,70,40,0.5,2
PSUAMS-1577,13155,45,42,0.5,2
UCIAMS-88702,10720,30,44,0.5,2
PSUAMS-1578,11395,35,44,0.5,2
PSUAMS-1579,11290,40,46,0.01,2
UCIAMS-101444,11020,240,56,0.01,2
UCIAMS-101445,11090,35,68,0.01,2
